Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1452,"S Lemola, N Perkinson-Gloor, S Brand…","Adolescents' electronic media use at night, sleep disturbance, and depressive symptoms in the smartphone age",2015,"Journal of youth and …","Springer","https://link.springer.com/article/10.1007/s10964-014-0176-x?r=1&error=cookies_not_supported&code=2113bdb7-e543-4482-b530-8e86e50b7683","https://scholar.google.com/scholar?cites=4079189851035434922&as_sdt=2005&sciodt=2007&hl=en",59,"2026-04-01 00:54:51","","10.1007/s10964-014-0176-x","",,,,,,1452,132.00,363,4,11,"… increasing vulnerability for poor mental health, including depression. Sleep disturbance is … who own a smartphone differ from their peers who do not own a smartphone regarding their …","https://wrap.warwick.ac.uk/id/eprint/102182/7/WRAP-adolescents-electronic-media-night-sleep-disturbance-depressive-symptoms-Lemola-2015.pdf","https://scholar.google.com/scholar?q=related:qn9Ymo4xnDgJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
290,"I Moshe, Y Terhorst, K Opoku Asare, LB Sander…","Predicting symptoms of depression and anxiety using smartphone and wearable data",2021,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.625247/full","https://scholar.google.com/scholar?cites=13018724522917013124&as_sdt=2005&sciodt=2007&hl=en",60,"2026-04-01 00:54:51","HTML","10.3389/fpsyt.2021.625247","",,,,,,290,58.00,58,5,5,"… is also associated with increased symptoms of depression (37), anxiety (38), and … smartphone and wearable devices may be used to predict symptoms of depression, anxiety and stress …","https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.625247/full","https://scholar.google.com/scholar?q=related:hKYiOfrMq7QJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
186,"ME David, JA Roberts, B Christenson","Too much of a good thing: Investigating the association between actual smartphone use and individual well-being",2018,"International Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10447318.2017.1349250","https://scholar.google.com/scholar?cites=399216599692520669&as_sdt=2005&sciodt=2007&hl=en",61,"2026-04-01 00:54:51","","10.1080/10447318.2017.1349250","",,,,,,186,23.25,62,3,8,"… actual smartphone use and individual and relational well-being is … smartphone use and well-being, but also the relationship between use of specific types of apps and user well-being…","https://www.researchgate.net/profile/James-Roberts-21/publication/318698623_Too_Much_of_a_Good_Thing_Investigating_the_Association_between_Actual_Smartphone_Use_and_Individual_Well-Being/links/59e8b290458515c36313ff96/Too-Much-of-a-Good-Thing-Investigating-the-Association-between-Actual-Smartphone-Use-and-Individual-Well-Being.pdf","https://scholar.google.com/scholar?q=related:3awc3WFNigUJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
32,"JH Cha, YJ Choi, S Ryu, JH Moon","Association between smartphone usage and health outcomes of adolescents: A propensity analysis using the Korea youth risk behavior survey",2023,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0294553","https://scholar.google.com/scholar?cites=1714773411253626530&as_sdt=2005&sciodt=2007&hl=en",62,"2026-04-01 00:54:51","HTML","","",,,,,,32,10.67,8,4,3,"… Therefore, the link between smartphone use and mental health needs to be re… smartphone usage time of the adolescent population and investigate the association between smartphone …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0294553","https://scholar.google.com/scholar?q=related:oqYOEFUZzBcJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
7,"S McCoy, A Marcus-Quinn","Navigating youth, smartphones, and policy: a balanced perspective on digital wellbeing",2025,"Pediatric Research","nature.com","https://www.nature.com/articles/s41390-025-04288-3","https://scholar.google.com/scholar?cites=7189803697868867637&as_sdt=2005&sciodt=2007&hl=en",63,"2026-04-01 00:54:51","HTML","","",,,,,,7,7.00,4,2,1,"… This paper reflects on debates around smartphones, social media and digital activities in shaping young people’s wellbeing and satisfaction. In current discourse, smartphone use …","https://www.nature.com/articles/s41390-025-04288-3","https://scholar.google.com/scholar?q=related:NYhDuF5Qx2MJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
63,"HS Seo, EK Jeong, S Choi, Y Kwon, HJ Park…","Changes of neurotransmitters in youth with internet and smartphone addiction: A comparison with healthy controls and changes after cognitive behavioral …",2020,"American Journal of …","ajnr.org","https://www.ajnr.org/content/41/7/1293.abstract","https://scholar.google.com/scholar?cites=10298141610271089142&as_sdt=2005&sciodt=2007&hl=en",64,"2026-04-01 00:54:51","HTML","","",,,,,,63,10.50,11,6,6,"… to-creatine ratios correlated with clinical scales of Internet and smartphone addictions, depression, and anxiety. Glx/Cr was negatively correlated with insomnia and sleep quality scales. …","https://www.ajnr.org/content/41/7/1293.abstract","https://scholar.google.com/scholar?q=related:9qHgjjtZ6o4J:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
9,"MF Alwi, S Adi, WC Rachmawati","The effect of smartphone addiction on adolescent mental health and social interaction",2022,"5th International Conference …","atlantis-press.com","https://www.atlantis-press.com/proceedings/icssh-21/125970137","https://scholar.google.com/scholar?cites=11078851458511570187&as_sdt=2005&sciodt=2007&hl=en",65,"2026-04-01 00:54:51","","","",,,,,,9,2.25,3,3,4,"… Three articles related to mental health and three other articles related to social … that smartphone addiction has an impact on adolescent mental health, especially anxiety and depression. …","https://www.atlantis-press.com/article/125970137.pdf","https://scholar.google.com/scholar?q=related:C4XmB7T8v5kJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
0,"EB Raposa, HS Versey, A Davis…","Exploring the Feasibility of Incorporating Smartphone‐Based Mental Health Support Into Youth Mentoring Programs: A Qualitative Analysis",2025,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jcop.70055","",66,"2026-04-01 00:54:51","","10.1002/jcop.70055","",,,,,,0,0.00,0,4,1,"… barriers to integrating digital mental health interventions into youth mentoring programs, … a smartphone app that allows mentors to assess and address mentees' mental health needs. …","","https://scholar.google.com/scholar?q=related:H-tnVp9Vj0MJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
817,"JM Twenge, GN Martin","Gender differences in associations between digital media use and psychological well-being: Evidence from three large datasets",2020,"Journal of adolescence","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140197119302453","https://scholar.google.com/scholar?cites=8620835568398896593&as_sdt=2005&sciodt=2007&hl=en",67,"2026-04-01 00:54:51","","","",,,,,,817,136.17,409,2,6,"… well-being/mental health issues were generally larger for girls than for boys. Light users of digital media were slightly higher in well-being … well-being are larger for adolescent girls than …","","https://scholar.google.com/scholar?q=related:0Q14OUZco3cJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
18,"M Gansner, M Nisenson, V Lin, N Carson…","Piloting smartphone digital phenotyping to understand problematic internet use in an adolescent and young adult sample",2023,"Child Psychiatry & …","Springer","https://link.springer.com/article/10.1007/s10578-022-01313-y","https://scholar.google.com/scholar?cites=1568626363424214215&as_sdt=2005&sciodt=2007&hl=en",68,"2026-04-01 00:54:51","","10.1007/s10578-022-01313-y","",,,,,,18,6.00,4,5,3,"… youth in mental health treatment in order to assess relationships between PIU, mood symptoms, and daily behaviors like smartphone … shared associations between depression and PIU, …","","https://scholar.google.com/scholar?q=related:x4w22V3hxBUJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
60,"YS Kwon, KS Paek","The influence of smartphone addiction on depression and communication competence among college students",2016,"Indian Journal …","sciresol.s3.us-east-2.amazonaws …","https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2016/Issue-41/Article15.pdf","https://scholar.google.com/scholar?cites=4559262008144596884&as_sdt=2005&sciodt=2007&hl=en",69,"2026-04-01 00:54:51","PDF","","",,,,,,60,6.00,30,2,10,"… Most studies about Smartphone addiction focus on adolescent, instead of college … smartphone addiction and depression were determined as positively correlated, depression was found …","https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2016/Issue-41/Article15.pdf","https://scholar.google.com/scholar?q=related:lI9k8aPART8J:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
93,"N Park, H Lee","Nature of youth smartphone addiction in Korea",2014,"언론정보연구","s-space.snu.ac.kr","https://s-space.snu.ac.kr/handle/10371/92844","https://scholar.google.com/scholar?cites=16015673551885121&as_sdt=2005&sciodt=2007&hl=en",70,"2026-04-01 00:54:51","","","",,,,,,93,7.75,47,2,12,"… , the results in this study provide a useful grounding for designing further research that examines the influence of smartphone technology on the lives and well-being of youth elsewhere. …","https://s-space.snu.ac.kr/bitstream/10371/92844/1/04.pdf","https://scholar.google.com/scholar?q=related:QRPmlCvmOAAJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
10,"D Giansanti","Smartphone addiction in youth: A narrative review of systematic evidence and emerging strategies",2025,"Psychiatry International","mdpi.com","https://www.mdpi.com/2673-5318/6/4/118","https://scholar.google.com/scholar?cites=12968976709863768498&as_sdt=2005&sciodt=2007&hl=en",71,"2026-04-01 00:54:51","HTML","","",,,,,,10,10.00,10,1,1,"… Across the literature, there is broad agreement that smartphone addiction poses risks to the mental, cognitive, and social well-being of youth, yet the depth and scope of investigation …","https://www.mdpi.com/2673-5318/6/4/118","https://scholar.google.com/scholar?q=related:soG-45oP-7MJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
